lvl#, ch#, challengeWord, 2XLetter, allPossibleWords, has2X, splitDistanceBetweenLetters, maxSequenceLetters, firstIndex
1, 8, slerew, r, slew lee ser ere see sew sere , False False True True False False True , 2 1 1 0 2 3 1 , 3 2 2 3 1 1 3 , 0 1 0 2 0 0 0 
1, 9, foexec, , fee foe exec fox , False False False False , 2 0 0 1 , 1 3 4 2 , 0 0 2 0 
2, 0, whrigm, , him whig rig wig whim rim , False False False False False False , 2 1 0 2 2 1 , 1 2 3 2 2 2 , 1 0 2 0 0 2 
2, 1, ciuced, c, cued iced cud cue ice , True False True True False , 2 1 3 2 1 , 2 3 1 1 2 , 0 1 0 0 1 
2, 2, svacsr, , var vas sacs vacs vac sac , False False False False False False , 2 1 1 0 0 1 , 2 2 3 4 3 2 , 1 1 0 1 1 0 
2, 3, axueld, , auld axed axel axe eld , False False False False False , 2 2 1 1 0 , 2 2 2 2 3 , 0 0 0 0 3 
2, 4, nfooxn, x, noon fox noo fon , False True False False , 2 1 1 2 , 2 2 2 2 , 0 1 0 1 
2, 5, chdowt, w, dot cot hot how cow chow dow , False False False True True True True , 1 3 2 1 2 1 0 , 2 1 1 2 2 2 3 , 2 0 1 1 0 0 2 
2, 6, mbaudn, b, bun ban mun mud man bud maun mad maud baud bad , True True False False False True False False False True True , 2 2 3 2 3 1 2 2 1 0 1 , 1 2 1 2 1 2 2 1 3 4 2 , 1 1 0 0 0 1 0 0 0 1 1 
2, 7, chluot, , cut hut cot hot lot clot , False False False False False False , 3 2 3 2 1 2 , 1 1 2 2 2 2 , 0 1 0 1 2 0 
2, 8, friogd, g, fid fig rid frig rig fog frog fro rod , False True False True True True True False False , 3 2 2 1 1 2 1 1 2 , 1 1 2 3 2 2 2 2 1 , 0 0 1 0 1 0 0 0 1 
2, 9, dyoecd, y, doc yod dyed dye doe , False True True True False , 2 2 2 1 1 , 1 2 2 2 2 , 0 1 0 0 0 
3, 0, racpyp, , rap ray racy app , False False False False , 1 2 1 2 , 2 2 3 1 , 0 0 0 1 
3, 1, fhrolm, , holm rom from fro , False False False False , 1 1 2 1 , 3 2 2 2 , 1 2 0 0 
3, 2, hcoypo, h, hoy hyp coy cop coo hypo hop , True True False False False True True , 1 2 0 1 2 2 2 , 2 2 3 2 2 3 1 , 0 0 1 1 1 0 0 
3, 3, celoxt, x, cot celt lox lot cox clot cel , False False True False True False False , 3 2 0 1 2 2 0 , 1 3 3 2 2 2 3 , 0 0 2 2 0 0 0 
3, 4, etmako, , mako tao eta , False False False , 0 2 1 , 4 1 2 , 2 1 0 
3, 5, asbrki, b, ask sri abri ark ski , False False True False False , 2 2 2 2 2 , 2 1 2 2 2 , 0 1 0 0 1 
3, 6, puceal, , pea puce peal cel pul pal , False False False False False False , 2 0 2 1 3 3 , 2 4 3 2 2 2 , 0 0 0 2 0 0 
3, 7, hwaund, w, wad hwan wand wan and hun hand had wud , True True True True False False False False True , 2 1 1 1 1 2 2 3 2 , 2 3 2 2 2 2 2 1 1 , 1 0 1 1 2 0 0 0 1 
3, 8, pceisl, c, cel cis ceil pes pis , True True True False False , 2 1 1 2 2 , 2 2 3 1 2 , 1 1 1 0 0 
3, 9, htutu, u, hut tut tutu , True True True , 1 0 0 , 2 3 4 , 0 1 1 
4, 0, sulouy, y, sou ulu soy sly sulu , False False True True False , 2 1 3 3 1 , 2 2 1 1 3 , 0 1 0 0 0 
4, 1, akonra, k, kor koa ana kora ora , True True False True False , 1 2 3 1 1 , 2 2 1 2 2 , 1 1 0 1 2 
4, 2, slorbn, , sorn son slob sorb lob sob orb lorn , False False False False False False False False , 2 3 1 1 1 2 0 1 , 2 1 3 3 2 1 3 3 , 0 0 0 0 1 0 2 1 
4, 3, yawtst, w, att yaws yaw , False True True , 2 1 0 , 1 3 3 , 1 0 0 
4, 4, kteirc, , kir keir tic , False False False , 2 1 2 , 2 3 1 , 0 0 1 
4, 5, cgoofw, , goof coo coof cow goo , False False False False False , 0 1 1 3 0 , 4 2 3 1 3 , 1 0 0 0 1 
4, 6, hkoagn, , hag koan hon koa hog , False False False False False , 2 1 3 0 2 , 2 3 1 3 1 , 0 1 0 1 0 
4, 7, eymicn, y, yin mic emic , True False False , 2 0 1 , 1 3 3 , 1 2 0 
4, 8, cvoaxs, x, coax vox vas cox cos , True True False True False , 1 1 2 2 3 , 3 2 1 1 1 , 0 1 1 0 0 
4, 9, ldoiup, p, lop dip lip dup loup , True True True True True , 3 2 3 2 2 , 1 1 1 2 2 , 0 1 0 1 0 
5, 0, jebrasey, j, era ease jee rase bras ras bas easy bray bra erase bey eras ray ere brae bay jay jersey ers base , False False True False False False False False False False False False False False False False False True True False False , 1 2 4 0 0 0 1 3 2 0 1 3 1 2 3 1 3 5 2 2 1 , 2 3 2 4 4 3 2 2 3 3 4 2 3 2 1 3 1 1 3 1 3 , 1 1 0 3 2 3 2 1 2 2 1 2 1 3 1 2 2 0 0 1 2 
5, 1, verisues, , sue vies vie ess res risus ere rises ers eses vises vees erses rues sues versus vise verse vis verses rise rue vee , False False False False False False False False False False False False False False False False False False False False False False False , 0 4 4 4 3 1 3 1 1 3 3 4 2 2 0 2 3 2 2 2 1 2 4 , 3 2 1 1 2 4 2 3 2 2 2 2 2 3 4 3 2 3 2 3 3 2 2 , 4 0 0 1 2 2 1 2 1 1 0 0 1 2 4 0 0 0 0 0 2 2 0 
5, 2, qurotles, q, rotls rote roles uts oles rot roe rots rotes ole res quotes les quote utes oes rotl role ute roes , False False False False False False False False False False False True False True False False False False False False , 1 1 1 4 1 0 2 2 1 1 3 2 0 2 3 2 0 1 3 2 , 4 3 3 1 3 3 2 3 3 2 2 2 3 2 2 2 4 2 1 2 , 2 2 2 1 3 2 2 2 2 3 2 0 5 0 1 3 2 2 1 2 
5, 3, dforugot, d, fou duo fog rug rot foot forgo dug forgot for fug got rut dot oot frug ort fort out dor fro drug dog , False True False False False False False True False False False False False True False False False False False True False True True , 1 4 2 0 2 3 1 3 1 0 2 0 2 5 3 1 3 3 3 1 3 2 3 , 2 1 2 3 2 2 3 2 3 3 2 3 2 1 2 3 2 3 1 2 1 3 1 , 1 0 1 3 3 1 1 0 1 1 1 5 3 0 2 1 2 1 2 0 1 0 0 
5, 4, morstal, , ors mors mos moa moral most mortal sal mora mort mor ort mol mot oral ora , False False False False False False False False False False False False False False False False , 0 0 1 3 2 1 1 1 2 1 0 1 4 2 2 2 , 3 4 2 2 3 2 3 2 3 3 3 2 2 2 2 2 , 1 0 0 0 0 0 0 3 0 0 0 1 0 0 1 1 
5, 5, fmisnery, y, mine fine miner fir fey fin fie mir finery fer finer ser miser fry fiery misery mise miry mis , False False False False True False False False True False False False False True True True False True False , 1 2 1 4 5 2 3 3 2 4 2 1 1 5 3 1 1 3 0 , 2 2 3 1 1 1 1 2 4 2 3 2 3 2 3 3 3 2 3 , 1 0 1 0 0 0 0 1 0 0 0 3 1 0 0 1 1 1 1 
5, 6, fjamoine, f, mine fan mon join fon joe ain jin jam fin foin amie fie fane fame ane fine amine famine fain foe ami jane amin one , False True False False True False False False False True True False True True True False True False True True True False False False False , 1 4 1 2 4 4 2 3 0 4 3 2 5 4 4 3 4 1 2 3 5 1 3 1 1 , 3 1 2 3 1 1 2 2 3 2 3 2 1 2 2 2 3 3 3 2 1 2 2 2 2 , 3 0 3 1 0 1 2 1 1 0 0 2 0 0 0 2 0 2 0 0 0 2 1 2 4 
5, 7, liqouid, , loid quid oud lid loud liquid , False False False False False False , 3 1 1 4 3 1 , 2 3 2 2 2 3 , 0 2 3 0 0 0 
5, 8, stbarcth, , stat arch bah bach sat tar arc star bat start starch bath tact act tat bar tach sac tart art , False False False False False False False False False False False False False False False False False False False False , 3 1 3 2 4 1 0 1 2 2 2 2 2 1 3 0 3 3 2 1 , 2 3 2 2 1 2 3 2 2 2 3 2 2 2 1 3 1 1 2 2 , 0 3 2 2 0 1 3 0 2 0 0 2 1 3 1 2 1 0 1 3 
5, 9, cendgter, , enter cede cent center edge eng end ender cee edger cete ceder eger , False False False False False False False False False False False False False , 2 3 2 2 2 1 0 2 4 2 3 3 3 , 3 2 3 3 2 2 3 3 2 2 2 2 2 , 1 0 0 0 1 1 1 1 0 1 0 0 1 
6, 0, ogpaqzue, z, opaque gae ope gaze , False False False True , 2 4 5 3 , 3 1 1 1 , 0 1 0 1 
6, 1, muntteor, m, tor mutt mun nor mute mut mor mutter muter unto ute utter , False True True False True True True True True False False False , 2 1 0 3 2 1 5 2 3 2 2 2 , 2 2 3 2 2 2 2 3 2 3 1 3 , 3 0 0 2 0 0 0 0 0 1 1 1 
6, 2, aurtorat, u, tor aurora rot oat art rat tot att aura auto ort uta tat tora tort ora , False True False False False False False False True True False True False False False False , 0 1 3 1 1 3 2 5 3 1 1 3 2 0 1 0 , 3 3 1 2 2 2 2 1 3 2 2 1 2 4 3 3 , 3 0 2 4 0 2 3 0 0 0 4 1 3 3 3 4 
6, 3, mlutlled, , muted med led ted mull lull muled mud mute lulled mule mulled ute mut lute luted , False False False False False False False False False False False False False False False False , 3 5 4 2 2 1 3 5 3 1 3 2 2 1 2 2 , 2 2 2 2 2 2 2 1 2 4 1 4 2 2 3 3 , 0 0 1 3 0 1 0 0 0 1 0 0 2 0 1 1 
6, 4, detesatf, , deaf deet tea sat dee detest dees def tat test tet eat teat eta , False False False False False False False False False False False False False False , 4 3 1 0 1 1 1 5 2 1 2 3 1 2 , 2 2 2 3 2 5 2 2 2 3 2 2 2 2 , 0 0 2 4 0 0 0 0 2 2 2 1 2 1 
6, 5, cohewked, w, hew cowed hewed oke owe owed eke cow ewe coked cee eked chew chewed cod ohed coke wed coed heed , True True True False True True False True True False False False True True False False False True False False , 0 3 1 3 3 3 1 2 1 3 4 1 1 2 5 3 3 1 4 2 , 3 2 3 2 1 2 2 2 2 3 1 3 3 3 2 3 2 2 2 2 , 2 0 2 1 1 1 3 0 3 0 0 3 0 0 0 1 0 4 0 2 
6, 6, falscima, , fascia aim ama sim sima facia lima ala asci fas als alma , False False False False False False False False False False False False , 2 3 4 1 1 3 2 4 1 1 0 3 , 3 2 2 2 3 2 3 2 3 2 3 2 , 0 1 1 3 3 0 2 1 1 0 1 1 
6, 7, jhidmmie, , him hie jimmie die hmm hid hide , False False False False False False False , 1 4 2 2 2 0 3 , 2 2 4 2 2 3 3 , 1 1 0 3 1 1 1 
6, 8, rapiecal, p, aal apical real pica rail rap ria pic peal riel rec pia rape pec raia rai ape pical pal pea pial ail rial pie , False True False True False True False True True False False True True True False False True True True True True False False True , 4 1 4 1 4 0 4 1 2 4 3 2 1 1 3 1 1 1 3 2 2 4 4 0 , 2 3 2 2 2 3 1 2 2 2 2 2 3 2 2 2 2 3 2 1 2 1 2 3 , 1 1 0 2 0 0 0 2 2 0 0 2 0 2 0 0 1 2 2 2 2 1 0 2 
6, 9, enbjooin, , jin bin ebon join boon boo enjoin noon eon noo , False False False False False False False False False False , 2 3 4 1 2 1 2 3 5 2 , 2 2 1 2 2 2 2 2 1 2 , 3 2 0 3 2 2 0 1 0 1 
7, 0, arnitter, r, nit air nite rite ate niter ant art ante ani att ait ritter are ane , False False False True False False False True False False False False True True False , 0 5 1 2 4 1 2 2 3 1 3 2 1 4 4 , 3 1 3 2 1 3 1 2 1 2 2 2 5 2 1 , 2 0 2 1 0 2 0 0 0 0 0 0 1 0 0 
7, 1, wadronis, , ados ons ars wans ads dis wadis dos wan don dons wos ado wad anis ani wars war wons warns warn ais wadi was wis wads won adonis , False False False False False False False False False False False False False False False False False False False False False False False False False False False False , 3 1 4 4 4 3 3 3 3 1 2 5 1 0 3 3 4 1 4 3 2 4 3 5 5 4 3 1 , 2 2 1 2 2 2 3 1 2 2 2 1 2 3 3 2 2 2 2 2 2 2 3 2 2 3 2 4 , 1 4 1 0 1 2 0 2 0 2 2 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0 0 1 
7, 2, heursrah, u, era hah err hurrah hes huh hers ursa hush her heh rah ers , False False False True False True False True True False False False False , 3 5 2 2 2 5 1 1 4 1 5 2 1 , 1 2 1 3 2 1 2 3 1 2 2 2 2 , 1 0 1 0 0 0 0 2 0 0 0 3 1 
7, 3, shgaritf, , gat shri sari grit hat git sit shat art shit ait sha hit hart rif sri sat gait sharif gar arf , False False False False False False False False False False False False False False False False False False False False False , 2 2 2 1 3 2 4 3 1 3 1 1 3 2 1 3 4 1 2 0 2 , 2 2 3 3 1 2 2 2 2 2 2 2 2 2 2 2 1 2 3 3 2 , 2 0 0 2 1 2 0 0 3 0 3 0 1 1 4 0 0 2 0 2 3 
7, 4, taunicga, , tui tau tung tan aga taiga tag tunic tic ani ana tang tanga tunica tuna tun anga tug , False False False False False False False False False False False False False False False False False False , 2 0 3 1 4 3 4 1 3 1 4 3 3 2 4 1 3 4 , 1 3 2 2 2 2 2 4 2 2 1 2 2 4 2 2 2 1 , 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 
7, 5, jowicket, j, jock wit owe oke wet joke jow jet ice ick jot wick joe wicket , True False False False False True True True False False True False True False , 2 3 3 3 3 3 0 5 1 0 5 0 4 0 , 2 2 2 2 2 2 3 2 2 3 2 4 2 6 , 0 2 1 1 2 0 0 0 3 3 0 2 0 2 
7, 6, weanedat, , wane ant wean and wan end neat wat wae ane wad weet wet wand weed wend ana net weaned eat wed went want wen waned wee , False False False False False False False False False False False False False False False False False False False False False False False False False False , 1 3 0 1 1 2 1 5 2 0 3 4 5 2 2 2 2 2 0 4 3 4 4 1 1 2 , 3 2 4 2 2 1 2 1 1 3 1 2 2 2 2 2 2 2 6 2 2 2 2 2 4 2 , 0 2 0 2 0 1 3 0 0 2 0 0 0 0 0 0 2 3 0 1 0 0 0 0 0 0 
7, 7, pegarret, , peart pet pear get ere are gat par pert part gae pere peg per err pat garret eat gar ret parr ear pea pare pee peat egret art , False False False False False False False False False False False False False False False False False False False False False False False False False False False False , 3 5 1 3 3 1 3 2 4 4 2 3 0 2 2 5 0 4 0 1 2 1 1 3 4 4 2 2 , 2 2 2 2 1 2 2 2 2 2 2 2 3 2 2 1 6 1 3 2 3 2 2 2 2 2 2 2 , 0 0 0 2 1 3 2 0 0 0 2 0 0 0 1 0 2 1 2 4 0 1 0 0 0 0 1 3 
7, 8, druhesus, u, dues hes due ess rhus rues duh res rue dress rhesus , True False True False False True True False True False False , 2 0 2 1 3 1 1 2 1 3 1 , 2 3 1 2 2 2 2 2 2 2 5 , 0 3 0 4 1 1 0 1 1 0 1 
7, 9, motdilne, d, mine mote mon mode til tile mol tin ode die ole moil modi mot oil mile dine motile tine mod mil mole tie din one , False False False True False False False False True True False False True False False False True False False True False False False True False , 4 4 4 4 1 2 3 2 4 2 4 2 1 0 2 4 1 2 2 1 3 4 3 1 4 , 2 3 2 2 2 2 2 1 1 2 1 2 2 3 2 2 2 3 2 2 2 2 1 2 2 , 0 0 0 0 2 2 0 2 1 3 1 0 0 0 1 0 3 0 2 0 0 0 2 3 1 
8, 0, otstodgy, , stogy soy sod otto stodgy tog sty tod toy tody , False False False False False False False False False False , 1 3 1 1 0 3 3 2 4 3 , 3 1 2 2 6 1 2 2 1 2 , 2 2 2 0 2 1 2 1 1 1 
8, 1, tnaupelo, , nae tau tape apo upo tupelo tael nap taupe tup tel tao tae tap nape ape , False False False False False False False False False False False False False False False False , 2 1 2 3 2 2 3 1 1 2 4 5 3 2 1 1 , 2 2 2 1 2 5 2 2 4 2 2 1 1 1 2 2 , 1 0 0 2 3 0 0 1 0 0 0 0 0 0 1 2 
8, 2, cjanuila, c, canula ail ani ana ala caul can jail anil nil , True False False False False True True False False False , 2 2 1 3 3 3 1 2 1 1 , 3 2 2 2 2 1 2 2 2 2 , 0 2 2 2 2 0 0 1 2 3 
8, 3, mpeirkle, k, ere merl merk ire eke merle mike mire pere per mile mel perk pile mil pele mir pee mere mirk irk meikle pike pie peke , False False True False True False True False False False False False True False False False False False False True True True True False True , 3 3 2 2 3 3 4 4 3 1 4 4 1 3 4 3 2 4 4 2 0 2 3 4 3 , 1 1 2 2 1 2 1 2 2 2 2 1 2 2 1 2 2 2 1 3 3 3 1 1 2 , 2 0 0 3 2 0 0 0 1 1 0 0 1 1 0 1 0 1 0 0 3 0 1 1 1 
8, 4, zfygomam, z, gam zygoma yom goa foam zoa yam , False True False False False True False , 2 1 1 1 3 4 3 , 2 5 2 2 2 1 2 , 3 0 2 3 1 0 2 
8, 5, wahreeze, z, ware whee are wheeze ree war wee heeze wae , False False False True False False False True False , 1 2 1 2 0 1 3 1 2 , 2 2 2 4 3 2 2 4 2 , 0 0 1 0 3 0 0 2 0 
8, 6, rohsazry, , oar rosy say ohs roar hazy ray hay rosary osar , False False False False False False False False False False , 3 4 2 0 3 2 5 3 2 2 , 1 2 2 3 2 2 1 1 2 2 , 1 0 3 1 0 2 0 2 0 1 
8, 7, grlocber, , roc gor glob globe gob roe grocer robe lob lobe obe goer rob , False False False False False False False False False False False False False , 1 5 2 2 3 3 2 2 1 1 1 4 2 , 2 1 2 2 1 1 2 2 2 2 2 2 1 , 1 0 0 0 0 1 0 1 2 2 3 0 1 
8, 8, eindlued, , endued led eide eld due idled ended indued endue end indue idle dud , False False False False False False False False False False False False False , 2 1 3 5 1 2 3 1 2 1 1 2 2 , 3 2 2 1 2 2 2 3 2 2 3 2 1 , 0 4 0 0 3 1 0 1 0 0 1 1 3 
8, 9, tulftimo, m, tui tuft tut limo ultimo , False False False True True , 3 1 2 2 1 , 2 2 2 3 4 , 0 0 0 2 1 
9, 0, doavitrs, v, air davit airs dit ars aits doat dors doats dis davits dos oats doits ait ors dot oat dits vis its oar oars dor ais dots doit dais , False True False False False False False False False False True False False False False False False False False True False False False False False False False False , 2 1 2 3 3 2 2 4 3 5 2 5 3 3 1 4 3 2 4 2 1 3 3 4 3 4 2 4 , 1 4 2 2 2 2 3 2 3 1 4 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 1 , 2 0 2 0 2 2 0 0 0 0 0 0 1 0 2 1 0 1 0 3 4 1 1 0 2 0 0 0 
9, 1, ceadbbie, , ebb cede cab cedi die abbe cabbie cad cee cadi cade , False False False False False False False False False False False , 2 4 2 3 2 2 2 1 5 3 4 , 2 2 1 2 2 2 4 2 2 2 2 , 1 0 0 0 3 2 0 0 0 0 0 
9, 2, csarnven, v, sane save carve ave cave carven cane carn care sen car can are sae ane , False True True True True True False False False False False False False False False , 2 2 2 2 3 2 3 1 3 4 1 2 2 3 2 , 2 2 2 2 2 3 1 3 2 2 2 1 2 2 1 , 1 1 0 2 0 0 0 0 0 1 0 0 2 1 2 
9, 3, rhiumeri, , rum humeri him hue hie rimer rei hum ruer rue her rime rim , False False False False False False False False False False False False False , 2 1 1 2 2 2 5 1 3 3 3 2 2 , 2 5 2 1 2 3 1 2 2 1 2 2 1 , 0 1 1 1 1 0 0 1 0 0 1 0 0 
9, 4, wdoabvle, , doe dole dol dale ave dal able dove ole wove dab wale obe wave ale woe doable wab wae , False False False False False False False False False False False False False False False False False False False , 4 3 3 3 2 3 1 3 3 4 1 4 3 4 2 5 1 2 5 , 2 2 2 2 1 1 2 2 2 1 2 2 1 1 2 1 4 2 1 , 1 1 1 1 3 1 3 1 2 0 1 0 2 0 3 0 1 0 0 
9, 5, phytoslh, p, pht posh poh hos phytol tosh pol , True True True False True False True , 1 4 5 2 1 1 4 , 2 2 1 2 5 3 1 , 0 0 0 1 0 3 0 
9, 6, skfeidns, k, eds ids sis fed kids fid kid fin fins skeins seis ens ken skins skids skid feds sins sei skein fens ski skin fids ins kins fes kis kens sin skis sen kin fen , False False False False True False True False False True False False True True True True False False False True False True True False False True False True True False True False True False , 2 1 5 1 3 1 2 2 2 2 4 2 3 3 3 2 2 4 2 2 2 2 3 2 1 3 3 4 3 4 4 4 3 2 , 1 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 1 2 1 1 2 , 3 4 0 2 1 2 1 2 2 0 0 3 1 0 0 0 2 0 0 0 2 0 0 2 4 1 2 1 1 0 0 0 1 2 
9, 7, zilolahm, , zillah ill zoa loam zill lam ohm , False False False False False False False , 1 1 3 2 1 3 2 , 3 2 1 2 3 1 2 , 0 1 0 2 0 2 3 
9, 8, rkimtmer, , kiter rite rimmer rimer kir kite kit kier rime rim , False False False False False False False False False False , 2 3 2 3 4 2 1 3 3 1 , 2 1 3 2 2 2 2 2 2 2 , 1 0 0 0 1 1 1 1 0 0 
9, 9, bmaublre, b, babe mare mae bur bale bal bauble mabe able are mule bub male bar bare ale mure mar maul , True False False True True True True False False False False True False True True False False False False , 4 3 4 4 4 3 2 3 2 3 3 2 3 4 4 3 3 3 1 , 1 2 2 1 1 1 4 2 2 2 1 2 2 1 2 1 2 2 3 , 0 1 1 0 0 0 0 1 2 2 1 0 1 0 0 2 1 1 1 
10, 0, aqulotoh, q, alto quoth ooh lot auto alt loo loth , False True False False False False False False , 3 2 1 0 3 3 1 1 , 2 2 2 3 2 1 2 3 , 0 1 4 3 0 0 3 3 
10, 1, rodipvet, v, rode dit rivet pet diet rip ode ripe rot rove dip roe die ope dive rope dipt opt rod ret rive vet , False False True False False False False False False True False False False False True False False False False False True True , 3 3 3 1 2 2 3 3 5 3 0 4 2 3 1 3 2 4 0 5 3 0 , 3 2 3 2 2 2 2 2 2 2 3 2 2 1 2 2 3 1 3 2 2 3 , 0 2 0 4 2 0 1 0 0 0 2 0 2 1 2 0 2 1 0 0 0 5 
10, 2, sicamfel, f, sial camel mel sice scam sim sal cafe same came safe sic ice cel cam sae sel , False False False False False False False True False False True False False False False False False , 4 1 1 3 1 2 5 1 3 1 3 0 3 3 0 4 5 , 2 3 2 3 3 2 1 2 2 3 2 3 2 2 3 1 2 , 0 2 4 0 0 0 0 2 0 2 0 0 1 2 2 0 0 
10, 3, storaclk, , stock talk sac tora stoa torc soak orc tack sal sack sock oral stalk stack sol rack stork ora tor track oak sora , False False False False False False False False False False False False False False False False False False False False False False False , 3 3 3 0 1 1 4 1 3 4 4 4 1 3 3 4 1 3 0 0 2 3 1 , 3 2 2 4 3 3 1 2 2 1 2 1 3 2 2 1 3 4 3 3 3 1 3 , 0 1 0 1 0 1 0 2 1 0 0 0 2 0 0 0 3 0 2 1 1 2 0 
10, 4, gtilaytk, , gat gay git lat til lay tilak gilt tilt tat tit ilk , False False False False False False False False False False False False , 4 3 4 1 0 0 2 3 2 3 3 3 , 1 2 1 2 3 3 4 2 3 1 2 2 , 0 0 0 3 1 3 1 0 1 1 1 2 
10, 5, rdileefy, , riley reefy dee dif rile ref ley reef die lee dey ree rif defy def , False False False False False False False False False False False False False False False , 3 3 2 3 1 4 2 3 1 0 4 3 4 3 3 , 3 4 2 2 3 1 2 3 2 3 1 2 1 2 1 , 0 0 1 1 0 0 3 0 1 3 1 0 0 1 1 
10, 6, jtennvy, , jenny ten envy , False False False , 2 0 1 , 3 3 2 , 0 1 2 
10, 7, woilese, w, oils oil wile oles woes wiles lee ole wis les wos oes ose woe wee wise , False False True False True True False False True False True False False True True True , 1 0 1 1 2 1 1 1 3 0 3 2 3 2 4 3 , 3 3 3 3 2 4 2 2 1 3 2 2 2 2 1 2 , 1 1 0 1 0 0 3 1 0 3 0 1 1 0 0 0 
10, 8, lorbiser, , obis loser riser orbs lobe lob lobs lore obi bier bis lose ors ore orbier lis bise loris lie obe ose lier rise ser orb , False False False False False False False False False False False False False False False False False False False False False False False False False , 1 3 1 1 3 1 2 3 1 1 0 3 2 3 1 3 0 1 4 3 3 4 1 0 0 , 3 3 4 3 2 2 2 3 2 2 3 2 2 2 4 2 4 3 1 1 2 2 3 3 3 , 1 0 2 1 0 0 0 0 1 3 3 0 1 1 1 0 3 0 0 1 1 0 2 5 1 
10, 9, tuarcsks, , ark ars arc tass tuck tacks tsk tack tusks tasks arks ask tsks tucks asks turks tas arcs turk tar tars task tusk ass , False False False False False False False False False False False False False False False False False False False False False False False False , 2 1 0 4 3 3 4 3 3 3 2 2 4 3 2 3 3 0 3 1 2 3 3 3 , 2 2 3 1 2 2 2 1 3 3 2 2 3 2 3 2 1 4 2 2 2 2 2 1 , 2 2 2 0 0 0 0 0 0 0 2 2 0 0 2 0 0 2 0 0 0 0 0 2 
11, 0, mucedsho, m, muds med much eds meds mud mus mucho mush udo mesh edh mho , True True True False True True True True True False True False True , 2 2 3 0 2 2 3 3 3 4 3 1 5 , 2 2 3 3 3 2 2 3 2 1 2 2 2 , 0 0 0 3 0 0 0 0 0 1 0 3 0 
